,grid_id,location,tz,wkt,elevations
37,QJHW4,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.5177297603772 34.35364110514904, -118.5177297603772 34.39071402523285, -118.5626455245832 34.39071402523285, -118.5626455245832 34.35364110514904, -118.5177297603772 34.35364110514904))",1313.8736000000001
38,S77YN,Delhi,Asia/Calcutta,"POLYGON ((77.07995296313287 28.70434728194878, 77.07995296313287 28.74373591678664, 77.0350371989269 28.74373591678664, 77.0350371989269 28.70434728194878, 77.07995296313287 28.70434728194878))",224.10222222222225
39,SZLMT,Delhi,Asia/Calcutta,"POLYGON ((77.16978449154482 28.66494381399507, 77.16978449154482 28.70434728194878, 77.12486872733885 28.70434728194878, 77.12486872733885 28.66494381399507, 77.16978449154482 28.66494381399507))",220.7437037037037
40,UC74Z,Delhi,Asia/Calcutta,"POLYGON ((77.30453178416276 28.50718187266299, 77.30453178416276 28.54664454217707, 77.25961601995678 28.54664454217707, 77.25961601995678 28.50718187266299, 77.30453178416276 28.50718187266299))",215.93925925925922
41,VBLD0,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-118.2033194109354 33.87020346808818, -118.2033194109354 33.9074889790035, -118.2482351751414 33.9074889790035, -118.2482351751414 33.87020346808818, -118.2033194109354 33.87020346808818))",0.0
42,VR4WG,Taipei,Asia/Taipei,"POLYGON ((121.5257644471362 25.05906406274214, 121.5257644471362 25.09974522235117, 121.4808486829302 25.09974522235117, 121.4808486829302 25.05906406274214, 121.5257644471362 25.05906406274214))",0.0
43,VXNN3,Delhi,Asia/Calcutta,"POLYGON ((77.16978449154482 28.7831097054843, 77.16978449154482 28.82246863505031, 77.12486872733885 28.82246863505031, 77.12486872733885 28.7831097054843, 77.16978449154482 28.7831097054843))",212.91111111111113
44,VYH7U,Delhi,Asia/Calcutta,"POLYGON ((77.07995296313287 28.74373591678664, 77.07995296313287 28.7831097054843, 77.0350371989269 28.7831097054843, 77.0350371989269 28.74373591678664, 77.07995296313287 28.74373591678664))",223.71857142857144
45,WT52R,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-116.8558464847561 33.9074889790035, -116.8558464847561 33.94475818789627, -116.9007622489621 33.94475818789627, -116.9007622489621 33.9074889790035, -116.8558464847561 33.9074889790035))",796.8923076923077
46,WZNCR,Delhi,Asia/Calcutta,"POLYGON ((77.16978449154482 28.54664454217707, 77.16978449154482 28.58609243100243, 77.12486872733885 28.58609243100243, 77.12486872733885 28.54664454217707, 77.16978449154482 28.54664454217707))",218.44857142857146
47,X5DKW,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.5744987120517 34.01924766510738, -117.5744987120517 34.05646791625069, -117.6194144762577 34.05646791625069, -117.6194144762577 34.01924766510738, -117.5744987120517 34.01924766510738))",1233.0876923076924
48,XJF9O,Taipei,Asia/Taipei,"POLYGON ((121.5257644471362 25.01836939334328, 121.5257644471362 25.05906406274214, 121.4808486829302 25.05906406274214, 121.4808486829302 25.01836939334328, 121.5257644471362 25.01836939334328))",0.0
49,XNLVD,Taipei,Asia/Taipei,"POLYGON ((121.5257644471362 25.09974522235117, 121.5257644471362 25.14041285615363, 121.4808486829302 25.14041285615363, 121.4808486829302 25.09974522235117, 121.5257644471362 25.09974522235117))",0.0
50,YHOPV,Delhi,Asia/Calcutta,"POLYGON ((77.30453178416276 28.62552552598286, 77.30453178416276 28.66494381399507, 77.25961601995678 28.66494381399507, 77.25961601995678 28.62552552598286, 77.30453178416276 28.62552552598286))",216.20000000000002
51,ZF3ZW,Delhi,Asia/Calcutta,"POLYGON ((77.07995296313287 28.66494381399507, 77.07995296313287 28.70434728194878, 77.0350371989269 28.70434728194878, 77.0350371989269 28.66494381399507, 77.07995296313287 28.66494381399507))",224.60296296296295
52,ZP1FZ,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.8439932972876 34.13085940091023, -117.8439932972876 34.16803061743935, -117.8889090614936 34.16803061743935, -117.8889090614936 34.13085940091023, -117.8439932972876 34.13085940091023))",670.2261538461539
53,ZZ8JF,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.3050041268159 33.64614854761477, -117.3050041268159 33.68353168758084, -117.3499198910219 33.68353168758084, -117.3499198910219 33.64614854761477, -117.3050041268159 33.64614854761477))",0.0
